task_id,question,
18,"*Several questions are associated with the following case study. The material given in the case study will not change.*
CBT's Annual General Meeting (AGM) is two months away. Patrick Weeze is a portfolio manager who owns a significant number of stocks in CBT in his portfolio. His fund is a concentrated portfolio with high idiosyncratic risk and, as a result, he believes that a detailed analysis of the governance of each of his stocks is paramount to its long-term performance. He reviews the relevant documentation regarding CBT's AGM and notes the following:
_	_ CBT provides information on the total amount of CEO remuneration, but no detail on theKey Performance Indicators (KPIs) that influence variable compensation. The CEO's totalcompensation last year was GBP 1.2 million, 30% of which was fixed salary.
_	_ CBT currently has 10 individuals sitting on its board, 3 of whom are independent. The Chairman is the former CEO who stepped down last year.
_	_ One of the resolutions to be voted at the AGM was put forward by a minority shareholder.The investor asks the company to produce a report on how climate change may affect the company's strategy and financial stability in the long-term.

Patrick believes that the Chair cannot be considered as an independent member of the board. He schedules an engagement meeting with the Chair to discuss the matter.
What could be the most favourable outcome from a governance perspective?
A. The Chair steps down and the CEO assumes the chairmanship, and one of the independent directors becomes the lead independent director. 
B. The Chair steps down and remains on the board, and one of the existing independent directors is elected Chair.
C. An additional independent director is added to the board to increase the level of independence.
D. The Chair steps down from the Board and the Chair role, and a newly-elected independent director is appointed Chair.",D
19,"*Several questions are associated with the following case study. The material given in the case study will not change.*
CBT's Annual General Meeting (AGM) is two months away. Patrick Weeze is a portfolio manager who owns a significant number of stocks in CBT in his portfolio. His fund is a concentrated portfolio with high idiosyncratic risk and, as a result, he believes that a detailed analysis of the governance of each of his stocks is paramount to its long-term performance. He reviews the relevant documentation regarding CBT's AGM and notes the following:
_	_ CBT provides information on the total amount of CEO remuneration, but no detail on theKey Performance Indicators (KPIs) that influence variable compensation. The CEO's totalcompensation last year was GBP 1.2 million, 30% of which was fixed salary.
_	_ CBT currently has 10 individuals sitting on its board, 3 of whom are independent. The Chairman is the former CEO who stepped down last year.
_	_ One of the resolutions to be voted at the AGM was put forward by a minority shareholder.The investor asks the company to produce a report on how climate change may affect the company's strategy and financial stability in the long-term.

When Patrick attempts to set up a call with CBT's Investor Relations to discuss governance matters, they push back suggesting that these have no relevance to the company.

Which argument can Patrick use to best highlight the importance of appropriate governance to enterprises?
A. A meta study by Friede, Busch and Bassen has shown that the majority of studies showed a positive correlation between governance and corporate financial performance.
B. The CFA Institute's 2017 ESG survey showed that governance has the strongest correlation with company margin growth.
C. Enron's case provides evidence that governance is simple and failures usually link to one single factor.
D. Bernile, Bhagwat and Yonker's 2017 study concludes that board diversity adds to governance complexity, thus destroying company value.",A
20,"*Several questions are associated with the following case study. The material given in the case study will not change.*
CBT's Annual General Meeting (AGM) is two months away. Patrick Weeze is a portfolio manager who owns a significant number of stocks in CBT in his portfolio. His fund is a concentrated portfolio with high idiosyncratic risk and, as a result, he believes that a detailed analysis of the governance of each of his stocks is paramount to its long-term performance. He reviews the relevant documentation regarding CBT's AGM and notes the following:
_	_ CBT provides information on the total amount of CEO remuneration, but no detail on theKey Performance Indicators (KPIs) that influence variable compensation. The CEO's totalcompensation last year was GBP 1.2 million, 30% of which was fixed salary.
_	_ CBT currently has 10 individuals sitting on its board, 3 of whom are independent. The Chairman is the former CEO who stepped down last year.
_	_ One of the resolutions to be voted at the AGM was put forward by a minority shareholder.The investor asks the company to produce a report on how climate change may affect the company's strategy and financial stability in the long-term.
What is Patrick least likely to take into consideration when making a decision regarding his vote on the shareholder resolution?
A. The extent to which the company and its business model is exposed to climate change risks.
B. Whether, and to what extent, the company already provides information on the topic of climate change risk.
C. The company's response on whether it supports the resolution and why.
D. Whether this resolution falls under the category of governance.",D
21,"What do corporate governance structures in France and the U S have in common?
A. Chief Executive and Chairman of the Board are typically one  person.
B. National corporate governance codes.
C. Statutory auditors in addition to independent auditors.
D. Two-tier boards.",A
22,"Vincent and Michelle discuss the relative merits of a carbo n tax scheme and an emissions trading scheme (ETS). While they disagree on which is preferab le overall, they at least agree that:
A. an ETS and a carbon tax are both market-based instruments.
B. an ETS generates less revenue for the government than a car bon tax.
C. an ETS cannot be structured to keep the price of emissions falling too low, while a carbon tax may keep prices artificially high.
D. an ETS incentivises industries to strictly limit emissions to a certain level, while a tax does not.",C
23,"Sienna reviews a large retailer faced with a sex equality l aw suit with a potential '4 billion in pay out claims. How should she adjust her financial model?
A. Adjust the employee expense line to reflect '4 billion in p ay out over 10 years.
B. Do nothing as the company has a good case and may not have to pay.
C. Lower the discount rate to reflect the risk of pay outs.
D. Raise the cost of capital to reflect the risk of pay outs.",D
24,"Which of these represents the internalisation of an externa lity?
A. Dumping landfill.
B. Forced Labour.
C. Excessive executive pay.
D. Carbon taxes.",B
25,"Bill is a philanthropist who is approached by four charitab le organisations that each claim to have a solution that reduces mortality by 15% in their speci fic area of focus if they receive $300 million. Bill's aim is to reduce mortality rates a s much as possible. Which one of the following charities should he choose?
A. A charity focussing on drought.
B. A charity focussing on malaria.
C. A charity focussing on pollution.
D. A charity focussing on violence.",C
26,"How can climate-related scenario analysis be used as an effective tool in portfolio management? 
i. By pricing climate risk. 
ii. By assessing the portfolio's alignment with the Paris Agreement temperature target. 
iii. By bottom-up analysis of in dividual companies in the port folio. 
iv. By producing standardised data for performance measurement . 

A . i
B. i and ii
C. i, ii and iii
D. i, ii, iii and iv",C
27,"Several questions are associated with the following case study. The material given in thecase study will not change.

Daniel Stinner was asked by the head of Research at Lopse Ratings to propose amethodology to rate sovereigns. Lopse Ratings is a well regarded rating agency, but ithas been falling behind its peers because, whilst it has integrated ESG within corporateissuers, it has not yet integrated ESG within sovereign issuers.

After a few months of research in the industry and within Lopse, Daniel proposed thefollowing to the Head of Research:

E, S and G weights to a final ESG score reflect the extent that the individual factor is adriver from a credit perspective.

Scores range from factors that individually are adequately managed or contributing to thesovereign's financial capacity (5) to those which may impose a significant strain onfinancial streams (1). They do not make value judgments on whether a sovereignengages in 'good' or 'bad' ESG practices. Instead, they draw out how E, S and G factorsare influencing the credit rating decision.

Political risk, rule of law and corruption have been key drivers of rating actions in the past,indicating that governance was already playing a role in the rating model. It should bemade explicit that these are governance-related matters, and thus considered as the 'G'within ESG. No other governance issue was deemed material across all types ofsovereigns. Data could be gathered from the World Bank's Governance Indicators(WBGI) and Transparency International.

Social factors also have an important influence on sovereign ratings. Certain factors arerelated to government's accountability, while others impact the longer-term productivity,and thus growth (plus indirectly, taxing capability) of the country. These factors areconsidered as the 'S' within ESG. Environmental risks, the 'E' within ESG, were identifiedas more idiosyncratic to each country based on their location and dependency.

The weighted average of the factors within each of the E, S and G pillars provide the score for that pillar, and the weighted average of the pillars provide the final ESG score for the sovereign issuer. 

Daniel provided examples of the rating system applied to two different sovereigns, as detailed below.

| Pilar         | Factor                       | Country A Score | Country A Trend | Country B Score | Country B Trend |
| ------------- | ---------------------------- | --------------- | --------------- | --------------- | --------------- |
| Social        | Human Rights & Public Safety | 5               | _               | 2               | _               |
| Social        | Demographics                 | 2               | _               | 4               | _               |
| Social        | Education & Employment       | 5               | _               | 3               | _               |
| Environmental | Emissions & Energy           | 3               | _               | 3               | _               |
| Environmental | Water                        | 4               | _               | 3               | _               |
| Environmental | Biodiversity                 | 3               | _               | 2               | _               |
| Environmental | Climate Resilience           | 1               | _               | 4               | _               |
| Governance    | Political Stability          | 4               | _               | 3               | _               |
| Governance    | Rule of Law & Corruption     | 4               | _               | 2               | _               |

In order to provide his boss with greater context of the ESG rating for each of the countries, Daniel briefly describes a few characteristics of each.

Which of the below are most likely part of  the *description for each company?*
|      | Country A                                                    | Country B                                                    |
| ---- | ------------------------------------------------------------ | ------------------------------------------------------------ |
| 1    | A developed country which is a relatively small island with an aging population | An emerging economy with increasing labour force and rising deforestation |
| 2    | A dictatorship with significant investments in basic needs but not environmental matters | A developed country with poor governance contributing to deteriorating living wage |
| 3    | A developing country with significant expenditure in public service jobs and military | A BRIC country in line with the Paris Agreement but lagging on social matters |
| 4    | A tiger economy, undergoing rapid economic growth accompanied by an increase in the standard of living | A parliamentary democracy with decentralized government and inefficient social and environmental policies |

A. 1
B. 2
C. 3
D. 4",A
28,"Several questions are associated with the following case study. The material given in thecase study will not change.

Daniel Stinner was asked by the head of Research at Lopse Ratings to propose amethodology to rate sovereigns. Lopse Ratings is a well regarded rating agency, but ithas been falling behind its peers because, whilst it has integrated ESG within corporateissuers, it has not yet integrated ESG within sovereign issuers.

After a few months of research in the industry and within Lopse, Daniel proposed thefollowing to the Head of Research:

E, S and G weights to a final ESG score reflect the extent that the individual factor is adriver from a credit perspective.

Scores range from factors that individually are adequately managed or contributing to thesovereign's financial capacity (5) to those which may impose a significant strain onfinancial streams (1). They do not make value judgments on whether a sovereignengages in 'good' or 'bad' ESG practices. Instead, they draw out how E, S and G factorsare influencing the credit rating decision.

Political risk, rule of law and corruption have been key drivers of rating actions in the past,indicating that governance was already playing a role in the rating model. It should bemade explicit that these are governance-related matters, and thus considered as the 'G'within ESG. No other governance issue was deemed material across all types ofsovereigns. Data could be gathered from the World Bank's Governance Indicators(WBGI) and Transparency International.

Social factors also have an important influence on sovereign ratings. Certain factors arerelated to government's accountability, while others impact the longer-term productivity,and thus growth (plus indirectly, taxing capability) of the country. These factors areconsidered as the 'S' within ESG. Environmental risks, the 'E' within ESG, were identifiedas more idiosyncratic to each country based on their location and dependency.

The weighted average of the factors within each of the E, S and G pillars provide the score for that pillar, and the weighted average of the pillars provide the final ESG score for the sovereign issuer. 

Daniel provided examples of the rating system applied to two different sovereigns, as detailed below.

| Pilar         | Factor                       | Country A Score | Country A Trend | Country B Score | Country B Trend |
| ------------- | ---------------------------- | --------------- | --------------- | --------------- | --------------- |
| Social        | Human Rights & Public Safety | 5               | _               | 2               | _               |
| Social        | Demographics                 | 2               | _               | 4               | _               |
| Social        | Education & Employment       | 5               | _               | 3               | _               |
| Environmental | Emissions & Energy           | 3               | _               | 3               | _               |
| Environmental | Water                        | 4               | _               | 3               | _               |
| Environmental | Biodiversity                 | 3               | _               | 2               | _               |
| Environmental | Climate Resilience           | 1               | _               | 4               | _               |
| Governance    | Political Stability          | 4               | _               | 3               | _               |
| Governance    | Rule of Law & Corruption     | 4               | _               | 2               | _               |

What might be a reasonable distribution of weight among each of the E, S and G pillars?

A. E = 33.3%, S= 33.3%, G= 33.3%
B. E = 33.3%, S= 44.4%, G= 22.2%
C. E = 40%, S= 40%, G= 20%
D. E = 20%, S= 30%, G= 50%",D
29,"Several questions are associated with the following case study. The material given in thecase study will not change.

Daniel Stinner was asked by the head of Research at Lopse Ratings to propose amethodology to rate sovereigns. Lopse Ratings is a well regarded rating agency, but ithas been falling behind its peers because, whilst it has integrated ESG within corporateissuers, it has not yet integrated ESG within sovereign issuers.

After a few months of research in the industry and within Lopse, Daniel proposed thefollowing to the Head of Research:

E, S and G weights to a final ESG score reflect the extent that the individual factor is adriver from a credit perspective.

Scores range from factors that individually are adequately managed or contributing to thesovereign's financial capacity (5) to those which may impose a significant strain onfinancial streams (1). They do not make value judgments on whether a sovereignengages in 'good' or 'bad' ESG practices. Instead, they draw out how E, S and G factorsare influencing the credit rating decision.

Political risk, rule of law and corruption have been key drivers of rating actions in the past,indicating that governance was already playing a role in the rating model. It should bemade explicit that these are governance-related matters, and thus considered as the 'G'within ESG. No other governance issue was deemed material across all types ofsovereigns. Data could be gathered from the World Bank's Governance Indicators(WBGI) and Transparency International.

Social factors also have an important influence on sovereign ratings. Certain factors arerelated to government's accountability, while others impact the longer-term productivity,and thus growth (plus indirectly, taxing capability) of the country. These factors areconsidered as the 'S' within ESG. Environmental risks, the 'E' within ESG, were identifiedas more idiosyncratic to each country based on their location and dependency.

The weighted average of the factors within each of the E, S and G pillars provide the score for that pillar, and the weighted average of the pillars provide the final ESG score for the sovereign issuer. 

Daniel provided examples of the rating system applied to two different sovereigns, as detailed below.

| Pilar         | Factor                       | Country A Score | Country A Trend | Country B Score | Country B Trend |
| ------------- | ---------------------------- | --------------- | --------------- | --------------- | --------------- |
| Social        | Human Rights & Public Safety | 5               | _               | 2               | _               |
| Social        | Demographics                 | 2               | _               | 4               | _               |
| Social        | Education & Employment       | 5               | _               | 3               | _               |
| Environmental | Emissions & Energy           | 3               | _               | 3               | _               |
| Environmental | Water                        | 4               | _               | 3               | _               |
| Environmental | Biodiversity                 | 3               | _               | 2               | _               |
| Environmental | Climate Resilience           | 1               | _               | 4               | _               |
| Governance    | Political Stability          | 4               | _               | 3               | _               |
| Governance    | Rule of Law & Corruption     | 4               | _               | 2               | _               |

What might explain a downward trend in Country B's water score?

A. Rising sea levels close to industrial zones.
B. Increased drought in agricultural areas.
C. Reduced access of low-income populations to water and sanitation.
D. Increased river discharge due to longer rainy season.",B
30,"Several questions are associated with the following case study. The material given in thecase study will not change.

Daniel Stinner was asked by the head of Research at Lopse Ratings to propose amethodology to rate sovereigns. Lopse Ratings is a well regarded rating agency, but ithas been falling behind its peers because, whilst it has integrated ESG within corporateissuers, it has not yet integrated ESG within sovereign issuers.

After a few months of research in the industry and within Lopse, Daniel proposed thefollowing to the Head of Research:

E, S and G weights to a final ESG score reflect the extent that the individual factor is adriver from a credit perspective.

Scores range from factors that individually are adequately managed or contributing to thesovereign's financial capacity (5) to those which may impose a significant strain onfinancial streams (1). They do not make value judgments on whether a sovereignengages in 'good' or 'bad' ESG practices. Instead, they draw out how E, S and G factorsare influencing the credit rating decision.

Political risk, rule of law and corruption have been key drivers of rating actions in the past,indicating that governance was already playing a role in the rating model. It should bemade explicit that these are governance-related matters, and thus considered as the 'G'within ESG. No other governance issue was deemed material across all types ofsovereigns. Data could be gathered from the World Bank's Governance Indicators(WBGI) and Transparency International.

Social factors also have an important influence on sovereign ratings. Certain factors arerelated to government's accountability, while others impact the longer-term productivity,and thus growth (plus indirectly, taxing capability) of the country. These factors areconsidered as the 'S' within ESG. Environmental risks, the 'E' within ESG, were identifiedas more idiosyncratic to each country based on their location and dependency.

The weighted average of the factors within each of the E, S and G pillars provide the score for that pillar, and the weighted average of the pillars provide the final ESG score for the sovereign issuer. 

Daniel provided examples of the rating system applied to two different sovereigns, as detailed below.

| Pilar         | Factor                       | Country A Score | Country A Trend | Country B Score | Country B Trend |
| ------------- | ---------------------------- | --------------- | --------------- | --------------- | --------------- |
| Social        | Human Rights & Public Safety | 5               | _               | 2               | _               |
| Social        | Demographics                 | 2               | _               | 4               | _               |
| Social        | Education & Employment       | 5               | _               | 3               | _               |
| Environmental | Emissions & Energy           | 3               | _               | 3               | _               |
| Environmental | Water                        | 4               | _               | 3               | _               |
| Environmental | Biodiversity                 | 3               | _               | 2               | _               |
| Environmental | Climate Resilience           | 1               | _               | 4               | _               |
| Governance    | Political Stability          | 4               | _               | 3               | _               |
| Governance    | Rule of Law & Corruption     | 4               | _               | 2               | _               |

How might Country A improve its score for Climate Resilience in the short to medium-term?

A. Improve adaptation methods.
B. Improve mitigation methods.
C. Reduce the number of stranded assets.
D. Align itself with the Paris Agreement.",A
31,"Several questions are associated with the following case study. The material given in thecase study will not change.

Daniel Stinner was asked by the head of Research at Lopse Ratings to propose amethodology to rate sovereigns. Lopse Ratings is a well regarded rating agency, but ithas been falling behind its peers because, whilst it has integrated ESG within corporateissuers, it has not yet integrated ESG within sovereign issuers.

After a few months of research in the industry and within Lopse, Daniel proposed thefollowing to the Head of Research:

E, S and G weights to a final ESG score reflect the extent that the individual factor is adriver from a credit perspective.

Scores range from factors that individually are adequately managed or contributing to thesovereign's financial capacity (5) to those which may impose a significant strain onfinancial streams (1). They do not make value judgments on whether a sovereignengages in 'good' or 'bad' ESG practices. Instead, they draw out how E, S and G factorsare influencing the credit rating decision.

Political risk, rule of law and corruption have been key drivers of rating actions in the past,indicating that governance was already playing a role in the rating model. It should bemade explicit that these are governance-related matters, and thus considered as the 'G'within ESG. No other governance issue was deemed material across all types ofsovereigns. Data could be gathered from the World Bank's Governance Indicators(WBGI) and Transparency International.

Social factors also have an important influence on sovereign ratings. Certain factors arerelated to government's accountability, while others impact the longer-term productivity,and thus growth (plus indirectly, taxing capability) of the country. These factors areconsidered as the 'S' within ESG. Environmental risks, the 'E' within ESG, were identifiedas more idiosyncratic to each country based on their location and dependency.

The weighted average of the factors within each of the E, S and G pillars provide the score for that pillar, and the weighted average of the pillars provide the final ESG score for the sovereign issuer. 

Daniel provided examples of the rating system applied to two different sovereigns, as detailed below.

| Pilar         | Factor                       | Country A Score | Country A Trend | Country B Score | Country B Trend |
| ------------- | ---------------------------- | --------------- | --------------- | --------------- | --------------- |
| Social        | Human Rights & Public Safety | 5               | _               | 2               | _               |
| Social        | Demographics                 | 2               | _               | 4               | _               |
| Social        | Education & Employment       | 5               | _               | 3               | _               |
| Environmental | Emissions & Energy           | 3               | _               | 3               | _               |
| Environmental | Water                        | 4               | _               | 3               | _               |
| Environmental | Biodiversity                 | 3               | _               | 2               | _               |
| Environmental | Climate Resilience           | 1               | _               | 4               | _               |
| Governance    | Political Stability          | 4               | _               | 3               | _               |
| Governance    | Rule of Law & Corruption     | 4               | _               | 2               | _               |

What might explain the different trends Country A and Country B are experiencing with regards to demographics?

A. In developed markets, such as Country A, the ratio between active and inactive part of the workforce drops.
B. In developed markets, such as Country B, the ratio between active and inactive part of the workforce rises.
C. In developing markets, such as Country B, the ratio between active and inactive part of the workforce drops.
D. In developing markets, such as Country A, the ratio between active and inactive part of the workforce drops.",A
32,"A company which produces bottled water and pledges to use 50% recycled plastics is using:
A. A circular economy approach.
B. A natural capital approach.
C. A supply chain disruption approach.
D. A use, make, dispose economy approach.",A
33,"Which comment on the data included in ESG integration databases is most accurate?
A. ESG data must be audited to be valid.
B. Input data across similar asset classes is consistent.
C. Data outputs will correlate with data from other ESG databa ses.
D. Incomplete ESG data used can be material.",D
34,"Alex is a corporate bond analyst at TBD Investment Manageme nt and is responsible for a '4 billion portfolio of utility bonds with a range of credit ratings and ESG scores. He has been directed to engage with all the utility companies, whose b onds TBD holds, on their plans to reduce carbon emissions. Using the PRI's guide for ESG en gagement, Alex should start wit h the
A. Largest holdings with high ESG scores.
B. Largest holdings with low ESG scores.
C. Smallest holdings with low credit ratings.
D. Smallest holdings with high ESG scores.",B
35,"Several questions are associated with the following case study. The material given in the case study will not change.

Lemon is a Japanese telecommunications company which recently acquired a local company that manufactures smart phones, TTN, in an effort to integrate vertically and provide clients with a better offer. A significant part of Lemon's clientele acquisition strategy is a focus on older individuals, and it wants to provide them with phones that better address their needs.

TTN, unlike most of its peers, owns the manufacturing plants which supply parts for its phones. 80% of TTN's manufacturing personnel are contractors, while the industry average is 40%. Two years ago, TTN was subject to a non-governmental organisation (NGO) campaign requesting that it offered contractors working conditions and pay similar to that of employees. TTN agreed to most of the NGO's requests.

Which social mega trend is most likely to affect Lemon's revenues?

A. TTN is most likely to benefit from increased demand from offshoring as globalisation increases.
B. Costs will decrease as manufacturing jobs are cut due to increased automation.
C. The alignment of TTN's business model to provide a number of new revenue generating services to support an older clientele that lives longer.
D. Increase in social media will naturally lead to increased advertisement sale by TTN.",C
36,"Several questions are associated with the following case study. The material given in the case study will not change.

Lemon is a Japanese telecommunications company which recently acquired a local company that manufactures smart phones, TTN, in an effort to integrate vertically and provide clients with a better offer. A significant part of Lemon's clientele acquisition strategy is a focus on older individuals, and it wants to provide them with phones that better address their needs.

TTN, unlike most of its peers, owns the manufacturing plants which supply parts for its phones. 80% of TTN's manufacturing personnel are contractors, while the industry average is 40%. Two years ago, TTN was subject to a non-governmental organisation (NGO) campaign requesting that it offered contractors working conditions and pay similar to that of employees. TTN agreed to most of the NGO's requests.

How is Lemon's labour rights risk impacted by characteristics that are company-specific?

A. Its risk is lower than industry average because a lower percentage of its work force is direct employees.
B. Its risk is fully mitigated by addressing the NGO's concerns.
C. Lemon's labour rights risk is reduced by the fact that older individuals have less concerns about company's social corporate responsibility than the younger generation.
D. By not outsourcing its manufacturing, Lemon retains greater control of its supply chain and thus labour-related risks.",D
37,"Several questions are associated with the following case study. The material given in the case study will not change.

Lemon is a Japanese telecommunications company which recently acquired a local company that manufactures smart phones, TTN, in an effort to integrate vertically and provide clients with a better offer. A significant part of Lemon's clientele acquisition strategy is a focus on older individuals, and it wants to provide them with phones that better address their needs.

TTN, unlike most of its peers, owns the manufacturing plants which supply parts for its phones. 80% of TTN's manufacturing personnel are contractors, while the industry average is 40%. Two years ago, TTN was subject to a non-governmental organisation (NGO) campaign requesting that it offered contractors working conditions and pay similar to that of employees. TTN agreed to most of the NGO's requests.

How might a portfolio manager interpret the financial implications of TTN agreeing to offercontractors the same working conditions as employees?

A. The change may increase cost in the short and long-term but may reduce risk of pricevolatility due to reduced labour disruption.
B. Potential financial implications cannot be estimated without the company disclosingthe change to contractors' salary.
C. Costs and risks remain the same as only employees' salary and working conditionsimpact the company.
D. The cost of capital is increased as a result of providing greater rights to contractors.",A
38,"Several questions are associated with the following case study. The material given in the case study will not change.

Lemon is a Japanese telecommunications company which recently acquired a local company that manufactures smart phones, TTN, in an effort to integrate vertically and provide clients with a better offer. A significant part of Lemon's clientele acquisition strategy is a focus on older individuals, and it wants to provide them with phones that better address their needs.

TTN, unlike most of its peers, owns the manufacturing plants which supply parts for its phones. 80% of TTN's manufacturing personnel are contractors, while the industry average is 40%. Two years ago, TTN was subject to a non-governmental organisation (NGO) campaign requesting that it offered contractors working conditions and pay similar to that of employees. TTN agreed to most of the NGO's requests.

Which of the following actions would be a breach of the Standards?

A. Taking a pro-union stance while negating the right of employees to negotiate individually.
B. Providing equal remuneration for equal work.
C. Abolishing child labour even though that would generate jobs.
D. Publishing a policy against discrimination in employment or occupation.",A
39,"Exclusionary screening is historically most common in which of these regions?
A. Europe.
B. United States. 
C. Asia .
D. Canada.",A
40,"The Bangladesh Investor Initiative is intended to address w hich social factor?
A. Forced labour.
B. Freedom of association.
C. Health and safety.
D. Living wage.",C
41,"What positive effect can the globalisation of economies hav e on business models?
A. Dependence on one or two efficient countries to supply an i ndustry globally.
B. Increased cross-border movement of goods and services.
C. Increased efficiency and lower costs.
D. Offshoring to developing countries can cause an industry to  disappear in a developed country.",C
42,"Which form of risk will not be lowered by the integration o f ESG into a firm's investment process?
A. Market risk.
B. Firm level reputational risk.
C. Investment risk.
D. Investment level reputational risk.",A
43,"Why do most corporate governance codes require audits?
A. To guarantee there is no fraud in a company's financial sta tements.
B. To provide a detailed list of accounting anomalies to share holders.
C. To provide an independent review of financials prepared by management.
D. To verify the financials of all subsidiaries of a company.",C
44,"What name is given to a company's failure to manage risk wh ich is manageable?
A. Management decomposition.
B. Management exposure.
C. Management risk.
D. Management gap.",D
